,AUPRC,AUROC,Accuracy,run_type,model_name,holdout_number,use_feature_selection
0,0.711318316026806,0.8845228940765923,0.8293577292751302,train,FFNN,0,True
1,0.6551705936646468,0.8596896060370145,0.8138359112979927,test,FFNN,0,True
2,0.7197415526851816,0.8870899123742735,0.8302838406087305,train,FFNN,0,False
3,0.6471364149147534,0.8590937964371046,0.8100815938329079,test,FFNN,0,False
4,0.7116274472310653,0.8845519538757827,0.8299959951942331,train,FFNN,1,True
5,0.6440183061163154,0.8551870525391012,0.8100815938329079,test,FFNN,1,True
6,0.7287790746583847,0.8906928347606385,0.8344888866639968,train,FFNN,1,False
7,0.6438276637860711,0.8560186106360479,0.808980327376483,test,FFNN,1,False
8,0.7009384906449374,0.8793890314525998,0.8264041850220264,train,FFNN,2,True
9,0.6430367031870793,0.8582366691459442,0.8087300395454773,test,FFNN,2,True
10,0.6725295799041169,0.8659642329555144,0.812700240288346,train,FFNN,2,False
11,0.6296101311239286,0.8498897682165046,0.801371577313911,test,FFNN,2,False
12,0.712681780596333,0.8833908294726146,0.829595514617541,train,FFNN,3,True
13,0.6655657813682205,0.8656076440705,0.8176903438954798,test,FFNN,3,True
14,0.6986353791300757,0.878342477683909,0.825515618742491,train,FFNN,3,False
15,0.6584897175773956,0.8652882199577102,0.8142363718276018,test,FFNN,3,False
16,0.6865995327580476,0.8711433022249575,0.8216234481377653,train,FFNN,4,True
17,0.648625528618734,0.8589427894872317,0.8114331481203384,test,FFNN,4,True
18,0.7151204732795059,0.8836249353004384,0.8295079094913896,train,FFNN,4,False
19,0.6580168409925904,0.8628580674163453,0.8156379836812334,test,FFNN,4,False
20,0.7085034536820866,0.8816454680825508,0.8269423307969563,train,FFNN,5,True
21,0.6392711521831224,0.8584391303157737,0.8092806727736898,test,FFNN,5,True
22,0.7294052784958613,0.8895482750640414,0.8334626551862234,train,FFNN,5,False
23,0.6341595313971655,0.8524870482753756,0.805526355308605,test,FFNN,5,False
24,0.68502456556635,0.8720058650248074,0.8203469162995595,train,FFNN,6,True
25,0.6557008439225162,0.8634343217807423,0.8153376382840266,test,FFNN,6,True
26,0.7184095125780723,0.8855015731005333,0.8310848017621145,train,FFNN,6,False
27,0.6529668659812049,0.8626380446975309,0.8140361415627972,test,FFNN,6,False
28,0.7286925014379704,0.888133972964614,0.8346265518622347,train,FFNN,7,True
29,0.6480278391305541,0.8569577093686686,0.81018170896531,test,FFNN,7,True
30,0.6999970961888715,0.880149278111889,0.8248648378053665,train,FFNN,7,False
31,0.651481264159391,0.8581104549711092,0.8121840116133554,test,FFNN,7,False
32,0.7015343126828573,0.8789530986833988,0.8230626752102523,train,FFNN,8,True
33,0.6451130891090786,0.8580531315485694,0.808629924413075,test,FFNN,8,True
34,0.7400141311431169,0.893782191607725,0.8369418301962355,train,FFNN,8,False
35,0.6543902600073845,0.8606449174547979,0.8093307303398909,test,FFNN,8,False
36,0.7239691392772614,0.8866115733640074,0.8295079094913896,train,FFNN,9,True
37,0.6459852738290015,0.8625926899739809,0.8135355659007859,test,FFNN,9,True
38,0.7159116246585587,0.8841944636866512,0.8298082699239087,train,FFNN,9,False
39,0.6452969259091388,0.8605098007787352,0.8106822846273214,test,FFNN,9,False
