,Unnamed: 0,AUPRC,AUROC,Accuracy,run_type,model_name,holdout_number,use_feature_selection
0,0,0.7737400429923296,0.8677823822398985,0.8022126551862234,train,FFNN,0,True
1,1,0.736075266498653,0.8548136587134845,0.7905090854482655,test,FFNN,0,True
2,2,0.7628487577359526,0.8619352519638472,0.7953293952743292,train,FFNN,0,False
3,3,0.7318325243780763,0.852195415342251,0.7902587976172598,test,FFNN,0,False
4,4,0.7693786076647182,0.865059361095578,0.7986709050861033,train,FFNN,1,True
5,5,0.7297277327204525,0.8545972466032441,0.7911097762426791,test,FFNN,1,True
6,6,0.7727119472737474,0.865719669757704,0.7990964156988386,train,FFNN,1,False
7,7,0.7352255731632219,0.8540645428268229,0.7885568403664214,test,FFNN,1,False
8,8,0.7682805380291327,0.8669388238088893,0.8008860632759311,train,FFNN,2,True
9,9,0.7383722186941803,0.8557807076073687,0.7925113880963107,test,FFNN,2,True
10,10,0.7828016685452859,0.8707375605969907,0.8041524829795755,train,FFNN,2,False
11,11,0.7371712018345147,0.8528852107560205,0.7889072433298293,test,FFNN,2,False
12,12,0.7681000556926059,0.8640512735633122,0.7999724669603524,train,FFNN,3,True
13,13,0.7363683010436712,0.8558846007939719,0.787255343645192,test,FFNN,3,True
14,14,0.7669025321613832,0.8650107319736222,0.798983780536644,train,FFNN,3,False
15,15,0.7361000237897095,0.857024169919135,0.7902087400510587,test,FFNN,3,False
16,16,0.7649133132928887,0.8640278742731053,0.797744793752503,train,FFNN,4,True
17,17,0.7273276667067704,0.8519887655238284,0.7874555739099965,test,FFNN,4,True
18,18,0.7747719315451711,0.868125230933849,0.8019373247897477,train,FFNN,4,False
19,19,0.7355721189270115,0.8538614344472207,0.7906092005806677,test,FFNN,4,False
20,20,0.7716570326405761,0.8668958853580715,0.801561874249099,train,FFNN,5,True
21,21,0.7290075610318862,0.8493312094363873,0.7877559193072032,test,FFNN,5,True
22,22,0.7734879380002442,0.8669353734405607,0.8011363636363636,train,FFNN,5,False
23,23,0.7329461945857252,0.8505166635293363,0.7883065525354157,test,FFNN,5,False
24,24,0.7640923083986714,0.8654393882461124,0.7992215658790549,train,FFNN,6,True
25,25,0.7265910882604985,0.8477955811672411,0.7889573008960304,test,FFNN,6,True
26,26,0.7760217173809995,0.8679214872674651,0.8009986984381258,train,FFNN,6,False
27,27,0.7333861222091254,0.8481841236759604,0.7860539620563648,test,FFNN,6,False
28,28,0.7720485411654632,0.8674587834027494,0.8013115738886664,train,FFNN,7,True
29,29,0.7369889028192655,0.8512321879079311,0.7899083946538519,test,FFNN,7,True
30,30,0.7695526216659497,0.8661943349450497,0.7995219263115739,train,FFNN,7,False
31,31,0.7322029044796315,0.8509938518206214,0.7866045952845773,test,FFNN,7,False
32,32,0.7710127729617291,0.8655543695228058,0.7983329995995194,train,FFNN,8,True
33,33,0.7362845680880283,0.8537496896985816,0.7906592581468689,test,FFNN,8,True
34,34,0.7694391472560602,0.8656963751385078,0.799284140969163,train,FFNN,8,False
35,35,0.7284299526312539,0.8518041330227233,0.7896080492566452,test,FFNN,8,False
36,36,0.76872553096695,0.8652725903578042,0.8001852222667201,train,FFNN,9,True
37,37,0.7274980446417827,0.8478703412152694,0.7852029834309456,test,FFNN,9,True
38,38,0.7621104022771146,0.8634775298860222,0.7979700640768923,train,FFNN,9,False
39,39,0.7240090607068417,0.8493605567084723,0.7860539620563648,test,FFNN,9,False
