,loss,accuracy,recall,precision,AUROC,AUPRC,f1_score,balanced_accuracy,specificity,miss_rate,fall_out,mcc,tp/t,fp/t,tn/t,fn/t,negative_predictive_value,false_discovery_rate,false_omission_rate,prevalence_threshold,threat_score,fowlkes_mallows_index,informedness,markedness,LR_pos,LR_neg,DOR,run_type,model_name,holdout_number
0,0.1319015622138977,0.961918294429779,0.28518518805503845,0.7839366793632507,0.8476067185401917,0.5138030052185059,0.4182257056236267,0.6406111717224121,0.9960371851921082,0.7148148417472839,0.003962819930166006,0.45895594358444214,0.01368807815015316,0.003772615920752287,0.9482302069664001,0.03430907800793648,0.9650812149047852,0.21606335043907166,0.034918785095214844,0.10544919222593307,0.2644028961658478,0.6406111717224121,0.47282886505126953,0.7490178942680359,71.96339416503906,0.7176586985588074,1.7825013399124146,train,MMNN,5
1,0.16097621619701385,0.9533064961433411,0.13486842811107635,0.557823121547699,0.7795308828353882,0.29715433716773987,0.2172185480594635,0.5647369027137756,0.9946053624153137,0.8651315569877625,0.005394638516008854,0.25841742753982544,0.006478628609329462,0.005135498009622097,0.9468278288841248,0.04155803099274635,0.9579536318778992,0.442176878452301,0.04204636439681053,0.1666652113199234,0.12184249609708786,0.5647369027137756,0.27428585290908813,0.5157767534255981,24.99999237060547,0.8698238134384155,1.2974607944488525,test,MMNN,5
0,0.1350277066230774,0.9622935652732849,0.29135802388191223,0.7910614609718323,0.8397513031959534,0.49423888325691223,0.42586466670036316,0.6437391042709351,0.9961201548576355,0.7086419463157654,0.00387982907705009,0.466325044631958,0.013984356075525284,0.003693608334288001,0.9483092427253723,0.034012798219919205,0.9653751254081726,0.20893855392932892,0.03462489694356918,0.1034579947590828,0.2705387771129608,0.6437391042709351,0.4800855219364166,0.7564365863800049,75.0936508178711,0.7114019989967346,1.806931495666504,train,MMNN,6
1,0.15600422024726868,0.9531484842300415,0.1381578892469406,0.5490196347236633,0.7962186932563782,0.3153347969055176,0.22076214849948883,0.5662156343460083,0.9942733645439148,0.8618420958518982,0.0057266163639724255,0.25914788246154785,0.006636643782258034,0.005451528821140528,0.9465118050575256,0.041400015354156494,0.9580934047698975,0.45098039507865906,0.04190659150481224,0.16915388405323029,0.12407680600881577,0.5662156343460083,0.27541130781173706,0.5071130394935608,24.12514877319336,0.8668058514595032,1.3052927255630493,test,MMNN,6
0,0.13425710797309875,0.9628664255142212,0.3600822985172272,0.7291666865348816,0.8442082405090332,0.5191530585289001,0.4820936620235443,0.6766696572303772,0.9932569861412048,0.6399176716804504,0.006743018515408039,0.49651509523391724,0.01728292554616928,0.006419372744858265,0.9455834627151489,0.030714228749275208,0.9685400724411011,0.2708333432674408,0.03145990148186684,0.12037187814712524,0.3176043629646301,0.6766696572303772,0.5124061107635498,0.6977067589759827,53.39996337890625,0.6442618370056152,2.0928118228912354,train,MMNN,7
1,0.1577090471982956,0.9540965557098389,0.21710526943206787,0.5569620132446289,0.7810047268867493,0.327622652053833,0.31242603063583374,0.6041954159736633,0.9912855625152588,0.7828947305679321,0.008714416064321995,0.32875391840934753,0.010429011657834053,0.008295804262161255,0.9436675310134888,0.037607647478580475,0.961674690246582,0.4430379867553711,0.03832527995109558,0.16690799593925476,0.18513323366641998,0.6041954159736633,0.347734659910202,0.5186367034912109,24.913061141967773,0.7897771000862122,1.5264991521835327,test,MMNN,7
0,0.12988030910491943,0.9650193452835083,0.36543211340904236,0.7949865460395813,0.8439286351203918,0.541947603225708,0.500704824924469,0.6803404688835144,0.9952487945556641,0.63456791639328,0.004751234315335751,0.5248839259147644,0.017539700493216515,0.004523188807070255,0.9474796652793884,0.030457453802227974,0.9688553810119629,0.2050134241580963,0.03114459477365017,0.10235371440649033,0.3339601457118988,0.6803404688835144,0.5389931201934814,0.7638419270515442,76.91146850585938,0.6375972032546997,2.1283278465270996,train,MMNN,8
1,0.1523219496011734,0.9533064961433411,0.16118420660495758,0.5474860072135925,0.8065113425254822,0.34027621150016785,0.24904701113700867,0.5772308111190796,0.9932774305343628,0.8388158082962036,0.006722549442201853,0.27973639965057373,0.00774275092408061,0.0063996207900345325,0.9455637335777283,0.04029390960931778,0.9591280817985535,0.4525139629840851,0.04087193310260773,0.16958947479724884,0.14223513007164001,0.5772308111190796,0.2970624566078186,0.506614089012146,23.97629165649414,0.8444928526878357,1.3653568029403687,test,MMNN,8
0,0.13834674656391144,0.9616813063621521,0.32633745670318604,0.7235401272773743,0.8388027548789978,0.491441011428833,0.4498014748096466,0.6600254774093628,0.9937134385108948,0.673662543296814,0.006286568008363247,0.4700980484485626,0.0156632699072361,0.005984830670058727,0.9460180401802063,0.03233388811349869,0.9669506549835205,0.27645984292030334,0.033049341291189194,0.12187858670949936,0.29015734791755676,0.6600254774093628,0.4859199821949005,0.6904907822608948,51.909446716308594,0.6779242753982544,1.9413963556289673,train,MMNN,9
1,0.16104473173618317,0.9538595080375671,0.16611842811107635,0.567415714263916,0.776748776435852,0.29693683981895447,0.2569974660873413,0.5798639059066772,0.9936094284057617,0.8338815569877625,0.0063905720598995686,0.2900734841823578,0.007979773916304111,0.006083589978516102,0.9458797574043274,0.04005688428878784,0.9593717455863953,0.4325842559337616,0.040628254413604736,0.16397571563720703,0.14744526147842407,0.5798639059066772,0.30701500177383423,0.5267874598503113,25.99388885498047,0.8392447233200073,1.380181074142456,test,MMNN,9
