,0,1
0,0.4510934054851532,"[0.001, 1, 128, 64, 128, 1e-06]"
1,0.45438650250434875,"[0.001, 1, 128, 64, 128, 1e-06]"
2,0.45462822914123535,"[0.001, 1, 128, 64, 128, 1e-06]"
3,0.45579564571380615,"[0.001, 2, 256, 128, 64, 1e-05]"
4,0.45602619647979736,"[0.0001, 1, 128, 64, 128, 1e-06]"
5,0.45655691623687744,"[0.0001, 3, 512, 256, 32, 1e-05]"
6,0.4570385813713074,"[0.001, 1, 128, 64, 128, 1e-06]"
7,0.45796865224838257,"[0.0001, 1, 128, 64, 128, 1e-06]"
8,0.4588366448879242,"[0.01, 1, 128, 64, 64, 1e-06]"
9,0.46566954255104065,"[0.0001, 1, 512, 256, 32, 1e-06]"
10,0.4660215675830841,"[0.0001, 1, 512, 256, 32, 1e-05]"
11,0.46738797426223755,"[0.0001, 1, 512, 256, 16, 1e-06]"
12,0.468426913022995,"[1e-05, 3, 128, 256, 16, 1e-06]"
13,0.47070440649986267,"[0.01, 2, 256, 128, 32, 1e-05]"
14,0.4785033166408539,"[0.001, 1, 128, 64, 64, 0.1]"
15,0.48056572675704956,"[0.0001, 1, 128, 64, 128, 0.1]"
16,0.4867887496948242,"[0.01, 1, 256, 256, 64, 0.01]"
17,0.48807212710380554,"[1e-05, 2, 128, 64, 16, 1e-05]"
18,0.4885634481906891,"[0.0001, 2, 128, 64, 64, 0.01]"
19,0.49045392870903015,"[1e-05, 2, 128, 128, 64, 0.0001]"
20,0.49239394068717957,"[0.0001, 2, 256, 64, 32, 0.01]"
21,0.49464163184165955,"[0.0001, 1, 128, 128, 32, 0.01]"
22,0.5003321766853333,"[0.1, 1, 128, 64, 64, 1e-06]"
23,0.5026671290397644,"[1e-05, 3, 256, 256, 32, 0.0001]"
24,0.5156033039093018,"[0.1, 2, 512, 64, 32, 1e-06]"
25,0.5172386765480042,"[0.1, 3, 256, 128, 64, 0.001]"
26,0.518114447593689,"[0.001, 3, 128, 64, 128, 0.1]"
27,0.519729495048523,"[0.001, 3, 128, 64, 64, 0.1]"
28,0.5255818367004395,"[0.01, 2, 512, 128, 32, 0.1]"
29,0.5270363688468933,"[0.001, 3, 512, 256, 32, 0.1]"
30,0.5473948121070862,"[0.01, 3, 512, 64, 16, 0.1]"
31,0.5590779185295105,"[1e-05, 1, 512, 256, 16, 1e-06]"
32,0.609613835811615,"[1e-06, 2, 128, 128, 32, 1e-06]"
33,0.6802303194999695,"[1e-06, 2, 256, 64, 16, 1e-05]"
34,0.7511003017425537,"[0.1, 3, 512, 256, 16, 0.1]"
35,1.17502760887146,"[1e-05, 2, 512, 128, 64, 0.01]"
36,1.8912978172302246,"[1e-05, 1, 128, 256, 128, 0.1]"
37,4.106649398803711,"[1e-05, 3, 128, 64, 128, 0.1]"
38,18.319753646850586,"[1e-06, 2, 128, 128, 128, 0.1]"
39,41.618614196777344,"[1e-06, 3, 512, 256, 64, 0.1]"
