,loss,accuracy,recall,precision,AUROC,AUPRC,f1_score,balanced_accuracy,specificity,miss_rate,fall_out,mcc,tp/t,fp/t,tn/t,fn/t,negative_predictive_value,false_discovery_rate,false_omission_rate,prevalence_threshold,threat_score,fowlkes_mallows_index,informedness,markedness,LR_pos,LR_neg,DOR,run_type,model_name,holdout_number
0,0.408422589302063,0.8146650791168213,0.7417681813240051,0.7347477078437805,0.8837469220161438,0.8030450344085693,0.7382412552833557,0.7980449199676514,0.8543216586112976,0.2582318186759949,0.1456783413887024,0.5948102474212646,0.2613511085510254,0.09435071796178818,0.5533139705657959,0.09098418056964874,0.8587855696678162,0.2652522623538971,0.14121440052986145,0.3070774972438812,0.5850890874862671,0.7980449199676514,0.7382495999336243,0.5935332775115967,5.091818332672119,0.3022652864456177,3.9515950679779053,train,MMNN,0
1,0.4577939808368683,0.7889072299003601,0.6945154666900635,0.7028037309646606,0.8493139147758484,0.7365406155586243,0.6986350417137146,0.7673829793930054,0.8402504324913025,0.30548450350761414,0.1597495973110199,0.536230206489563,0.24468138813972473,0.10346899181604385,0.5442258715629578,0.10762377083301544,0.8348947763442993,0.29719626903533936,0.1651052087545395,0.3241414427757263,0.5368478894233704,0.7673829793930054,0.6986473202705383,0.53769850730896,4.347522735595703,0.363563597202301,3.29891037940979,test,MMNN,0
0,0.40731674432754517,0.8167551159858704,0.6678506731987,0.7803926467895508,0.887271523475647,0.8090940117835999,0.719748854637146,0.7828055620193481,0.8977604508399963,0.33214932680130005,0.10223957151174545,0.5887545943260193,0.23530736565589905,0.06621696054935455,0.5814477205276489,0.11702793091535568,0.8324523568153381,0.21960735321044922,0.16754761338233948,0.28122901916503906,0.5621935129165649,0.7828055620193481,0.7219319343566895,0.6128450036048889,6.532207012176514,0.36997538805007935,3.60416841506958,train,MMNN,1
1,0.45893794298171997,0.7869049310684204,0.6214833855628967,0.733031690120697,0.8509262800216675,0.7405003905296326,0.6726643443107605,0.7491836547851562,0.876883864402771,0.37851661443710327,0.1231161579489708,0.5201485753059387,0.21895179152488708,0.0797417014837265,0.5679531693458557,0.1333533525466919,0.8098500967025757,0.26696833968162537,0.19014988839626312,0.3079989552497864,0.5067778825759888,0.7491836547851562,0.6749570369720459,0.5428817868232727,5.047939300537109,0.4316610097885132,2.9869799613952637,test,MMNN,1
0,0.4273381531238556,0.8028008341789246,0.7236173748970032,0.7186397910118103,0.8715581893920898,0.77344810962677,0.7211199998855591,0.7847473621368408,0.8458773493766785,0.2763826251029968,0.15412262082099915,0.5686049461364746,0.2549559473991394,0.09981978684663773,0.5478448867797852,0.09737935662269592,0.8490767478942871,0.2813602387905121,0.15092326700687408,0.31577491760253906,0.5638683438301086,0.7847473621368408,0.7211242914199829,0.5677165389060974,4.695072650909424,0.32674074172973633,3.6457033157348633,train,MMNN,2
1,0.4534167945384979,0.7883065342903137,0.6987780332565308,0.6998718976974487,0.8519963026046753,0.7405736446380615,0.6993245482444763,0.7678912281990051,0.8370044231414795,0.30122193694114685,0.1629955917596817,0.5359739065170288,0.2461831122636795,0.10557140409946442,0.5421234369277954,0.10612203925848007,0.8362934589385986,0.3001280725002289,0.16370657086372375,0.32567650079727173,0.5376626253128052,0.7678912281990051,0.6993247270584106,0.5361653566360474,4.287095069885254,0.35988089442253113,3.3083243370056152,test,MMNN,2
0,0.38743671774864197,0.8285943269729614,0.724043607711792,0.7747330069541931,0.896696925163269,0.8238857388496399,0.7485311627388,0.8047572374343872,0.8854708075523376,0.275956392288208,0.11452918499708176,0.6195594668388367,0.255106121301651,0.07417651265859604,0.573488175868988,0.09722917526960373,0.8550370335578918,0.22526699304580688,0.14496296644210815,0.28454825282096863,0.5981220602989197,0.8047572374343872,0.7489596009254456,0.629770040512085,6.321907997131348,0.31164929270744324,4.121827125549316,train,MMNN,3
1,0.46004295349121094,0.7853531837463379,0.6513214111328125,0.7142412066459656,0.8495617508888245,0.7381697297096252,0.6813317537307739,0.7547897100448608,0.8582580089569092,0.3486785888671875,0.1417420208454132,0.5212824940681458,0.22946389019489288,0.09180557727813721,0.5558892488479614,0.12284126877784729,0.8190131783485413,0.2857587933540344,0.18098679184913635,0.31810420751571655,0.5166816711425781,0.7547897100448608,0.6820561289787292,0.5332543849945068,4.5951151847839355,0.4062630832195282,3.0781314373016357,test,MMNN,3
0,0.4065660238265991,0.8181067109107971,0.7258551716804504,0.7498807311058044,0.8855724334716797,0.8048803806304932,0.7376723885536194,0.7970737814903259,0.8682923913002014,0.27414485812187195,0.1317075937986374,0.598705530166626,0.25574439764022827,0.08530236035585403,0.5623623132705688,0.09659090638160706,0.8534176349639893,0.25011926889419556,0.14658233523368835,0.29872360825538635,0.584374725818634,0.7970737814903259,0.737770140171051,0.6032983660697937,5.511106491088867,0.31572869420051575,3.927898406982422,train,MMNN,4
1,0.4544215202331543,0.7865045070648193,0.6830065250396729,0.7026750445365906,0.8512364625930786,0.7397685050964355,0.6927012205123901,0.7629036903381348,0.8428008556365967,0.31699347496032715,0.15719915926456451,0.5293101668357849,0.240626722574234,0.10181708633899689,0.5458777546882629,0.11167842894792557,0.8301613926887512,0.2973249554634094,0.16983860731124878,0.32420894503593445,0.5298721194267273,0.7629036903381348,0.6927710175514221,0.5328364372253418,4.344845771789551,0.3761190176010132,3.2176945209503174,test,MMNN,4
0,0.41618725657463074,0.8117616176605225,0.7299044728279114,0.7342599630355835,0.878941535949707,0.7936955094337463,0.7320757508277893,0.7930985689163208,0.8562926054000854,0.270095556974411,0.14370736479759216,0.5869971513748169,0.257171094417572,0.09307418763637543,0.5545905232429504,0.09516419470310211,0.8535382747650146,0.2657400071620941,0.14646172523498535,0.30734360218048096,0.5773813128471375,0.7930985689163208,0.7320789694786072,0.5877982378005981,5.079099178314209,0.3154243230819702,3.8332176208496094,train,MMNN,5
1,0.45724233984947205,0.7884066700935364,0.6994885206222534,0.6997867822647095,0.8493257761001587,0.7337490320205688,0.6996375918388367,0.7681305408477783,0.8367725610733032,0.30051150918006897,0.16322745382785797,0.5363131761550903,0.24643339216709137,0.10572157800197601,0.5419732928276062,0.10587175190448761,0.8365786075592041,0.3002132177352905,0.1634214222431183,0.32572099566459656,0.5380327701568604,0.7681305408477783,0.6996376514434814,0.5363653898239136,4.28535795211792,0.3591316044330597,3.312770366668701,test,MMNN,5
0,0.40705493092536926,0.8179064989089966,0.7120378017425537,0.7567669749259949,0.8859121799468994,0.8039803504943848,0.7337213158607483,0.7937688827514648,0.875499963760376,0.2879621982574463,0.12450000643730164,0.5962015390396118,0.2508760392665863,0.08063425868749619,0.5670304298400879,0.10145924985408783,0.8482261300086975,0.24323303997516632,0.1517738401889801,0.2948564291000366,0.5794311761856079,0.7937688827514648,0.7340617775917053,0.6049931049346924,5.719174385070801,0.3289116621017456,3.848928213119507,train,MMNN,6
1,0.4555608034133911,0.7869049310684204,0.675618052482605,0.7066428661346436,0.8501134514808655,0.7394190430641174,0.6907823085784912,0.7615280151367188,0.8474379777908325,0.32438191771507263,0.15256202220916748,0.5286555886268616,0.23802372813224792,0.09881363809108734,0.5488812327384949,0.11428142338991165,0.8276721239089966,0.29335710406303406,0.1723279058933258,0.32212379574775696,0.5276298522949219,0.7615280151367188,0.6909563541412354,0.5343149900436401,4.428478240966797,0.38277947902679443,3.193364381790161,test,MMNN,6
0,0.4178566634654999,0.8117616176605225,0.7198167443275452,0.7391129732131958,0.878648042678833,0.7934185862541199,0.729337215423584,0.7907986044883728,0.8617804646492004,0.2801832854747772,0.13821955025196075,0.5852000713348389,0.2536168396472931,0.0895199254155159,0.558144748210907,0.09871846437454224,0.8497123122215271,0.2608869969844818,0.1502877026796341,0.3046869933605194,0.573981761932373,0.7907986044883728,0.7294010519981384,0.5888252854347229,5.2077741622924805,0.32512137293815613,3.7800815105438232,train,MMNN,7
1,0.454741507768631,0.788356602191925,0.6830065250396729,0.7064961791038513,0.8506333827972412,0.7402610182762146,0.6945528388023376,0.7643334865570068,0.845660388469696,0.31699347496032715,0.15433959662914276,0.5328839421272278,0.240626722574234,0.09996496140956879,0.5477299094200134,0.11167842894792557,0.8306384086608887,0.2935038208961487,0.16936157643795013,0.32220104336738586,0.5320420861244202,0.7643334865570068,0.6946520805358887,0.53713458776474,4.425345420837402,0.3748472034931183,3.243283271789551,test,MMNN,7
0,0.3982340395450592,0.8247146606445312,0.7212730646133423,0.7672775387763977,0.8907519578933716,0.8192307949066162,0.7435643672943115,0.8011304140090942,0.880987823009491,0.2787269651889801,0.11901219189167023,0.6112815141677856,0.25412994623184204,0.07707999646663666,0.5705847144126892,0.09820534288883209,0.8531596660614014,0.2327224612236023,0.14684031903743744,0.2888663709163666,0.5918046236038208,0.8011304140090942,0.7439197897911072,0.6204372048377991,6.060492515563965,0.31637999415397644,4.0284199714660645,train,MMNN,8
1,0.457805335521698,0.7880562543869019,0.6723501086235046,0.7105104923248291,0.8487491607666016,0.7381027936935425,0.6909037828445435,0.7616716027259827,0.8509930968284607,0.32764989137649536,0.14900687336921692,0.5302996039390564,0.23687240481376648,0.09651098400354385,0.5511838793754578,0.1154327467083931,0.8268378973007202,0.2894894778728485,0.17316211760044098,0.32008227705955505,0.5277715921401978,0.7616716027259827,0.6911669969558716,0.5373483896255493,4.512205600738525,0.38502055406570435,3.1958906650543213,test,MMNN,8
0,0.4030926525592804,0.8175811171531677,0.7444322109222412,0.7395461797714233,0.8875514268875122,0.806623101234436,0.7419811487197876,0.8009034395217896,0.8573747277259827,0.2555677890777588,0.14262525737285614,0.6009095907211304,0.26228976249694824,0.09237334877252579,0.5552913546562195,0.09004555642604828,0.8604673743247986,0.2604537904262543,0.13953262567520142,0.30444902181625366,0.5898013114929199,0.8009034395217896,0.7419852018356323,0.6000135540962219,5.219493865966797,0.29808175563812256,4.022688388824463,train,MMNN,9
1,0.4531412422657013,0.7888071537017822,0.7098607420921326,0.6965007781982422,0.853060245513916,0.7425205707550049,0.703117311000824,0.7708048820495605,0.8317489624023438,0.29013925790786743,0.16825102269649506,0.5393096804618835,0.25008758902549744,0.10897532105445862,0.5387195348739624,0.10221754759550095,0.840518593788147,0.3034992218017578,0.15948140621185303,0.3274356424808502,0.5421594977378845,0.7708048820495605,0.7031490206718445,0.5370193719863892,4.219054698944092,0.34883028268814087,3.363093614578247,test,MMNN,9
